streamer,time,pog/w ratio
Pikabooirl,120.18,58.98
Lacy,126.31,2.40
Northernlion,128.16,100.00
sodapoppin,132.77,96.69
summit1g,148.77,95.71
MISTERARTHER,178.48,70.36
HasanAbi,212.99,97.17
shroud,269.31,75.94
caseoh_,310.74,6.63
Tubbo,679.13,99.40
Nmplol,932.61,84.52
Mizkif,986.73,83.98
LCK,1079.48,99.71
zackrawrr,1235.64,87.50
loltyler1,1240.22,92.77
MrSavage,1357.29,1.05
MOONMOON,1616.16,95.76
xQc,2065.06,94.39
plaqueboymax,2318.87,0.00
Thebausffs,3259.27,99.24
KaiCenat,3959.76,2.88
Caedrel,6392.08,99.64
ohnePixel,6787.70,48.26
stableronaldo,12390.44,3.67
PirateSoftware,28720.71,97.16
